"iso","w_gr_prec_plus1sd_real","w_gr_prec_plus1sd_prec","w_gr_prec_minus1sd_real","w_gr_prec_minus1sd_prec","w_gr_prec_plus3sd_real","w_gr_prec_plus3sd_prec","w_gr_prec_minus3sd_real","w_gr_prec_minus3sd_prec"
"ALB",-0.0105000050570119,-0.0551869545859349,0.00208866496278202,-0.00962930016961187,-0.0567340354537251,-0.360009628024445,-0.0189680253943434,-0.223336664775476
"ARG",-0.00730661461952635,-0.0309669424986393,-0.00193434269210581,-0.00809377319978166,-0.0496427157934755,-0.210082974591181,-0.0335259000112139,-0.141463466694608
"AUS",-0.00722558076920525,-0.0219237519603319,-0.00144019299488724,-0.00335900022807042,-0.0476740635998932,-0.141619512446203,-0.0303179002769392,-0.0859252572494183
"AUT",-0.0111828839955774,-0.0343917350783449,0.00650658394468204,0.00740564802390715,-0.0475775521394183,-0.184133466398348,0.00549085168136009,-0.0587413170915916
"AZE",-0.00657841309439468,-0.0189001339167242,0.00199883587346364,0.00246246076127365,-0.0334739709459772,-0.106013421216524,-0.00774222404240226,-0.0419256371825308
"BLR",-0.0106058927587288,-0.0231939877583622,0.00618766343109099,0.00467100653910304,-0.0450723662591,-0.125150906932864,0.00530830231035944,-0.0415559240404682
"BEL",-0.0115743522692672,-0.0246063992750955,0.00811401115973084,0.00375614377960719,-0.0451040801364108,-0.136369964311751,0.0139610101505834,-0.0512823351476434
"BOL",-0.00553582590125617,-0.0229386283376334,-0.00444502087669065,-0.00919223525500714,-0.0465500180376089,-0.165208475790822,-0.0432776029639124,-0.123969296542943
"BIH",-0.0114791672773423,-0.0411127219179508,0.002851860220856,-0.000199677707003126,-0.0603194230014855,-0.247275364628714,-0.0173263405068908,-0.124536231995871
"BRA",-0.00596881227658099,-0.0221537612121265,-0.00516062262781323,-0.0309901166483313,-0.0512947415429256,-0.225892917217753,-0.0488701725966223,-0.252401983526367
"BGR",-0.01101572174807,-0.0307819746409886,0.00441046518103641,0.00137254520773525,-0.052862934945311,-0.180574212222726,-0.0065843741579916,-0.0841106526765544
"CAN",-0.00534413075674171,-0.0242376913265796,-0.000226939087549861,0.00826419595419672,-0.0327456018030998,-0.120633560096888,-0.0173940267955243,-0.0231278982545585
"CHL",-0.00765444601010746,-0.0567430013993829,-0.00306012204180437,-0.0057235031998932,-0.0551070421860579,-0.357628517995977,-0.0413240702811486,-0.204570023397508
"CHN",-0.00676204129977284,-0.0317036490960964,-0.003242040525068,-0.00624768932019812,-0.050298369373841,-0.208964962537173,-0.0397383670497265,-0.132597083209478
"COL",-0.0030464618872339,-0.050957193898139,-0.0103709173641116,-0.0504850665065446,-0.0493915234157383,-0.457198362908468,-0.0713648898463713,-0.455781980733685
"HRV",-0.0117783179158272,-0.0366765073480625,0.00544216993530382,-0.00255165265921892,-0.0543433976890515,-0.227714002066032,-0.00268193413565857,-0.125339437999501
"CZE",-0.012996106131528,-0.0273912529841398,0.0079489423569697,0.00552334148267769,-0.0541298097182592,-0.147777493456806,0.00870533574723408,-0.0490337100563531
"DNK",-0.0106340837404941,-0.0247414199054439,0.00661195774469772,0.00494339052703935,-0.0439686292088715,-0.133618347851545,0.00776949524670417,-0.0445639165540956
"ECU",-0.00597524439683529,-0.205747249788828,-0.0155864320346375,-0.191426026630593,-0.0826107624849243,-1.80876157862475,-0.111444325398331,-1.76579790915004
"EGY",-0.00223528028591447,-0.00307460452296926,-0.00880039387893445,-0.00458292112497465,-0.0398128633522901,-0.0321963905127395,-0.0595082041313501,-0.0367213403187557
"EST",-0.0125947558918397,-0.0278075347409747,0.0074603577148864,0.00756305831975445,-0.053187462206379,-0.144156033486585,0.00697787861379929,-0.0380442543043973
"ETH",-0.00619067744962577,-0.0184069203175481,-0.00732771826420169,-0.00877071603874197,-0.0591272194903596,-0.136753670021514,-0.0625383419340874,-0.107845057185096
"FIN",-0.0113274507629572,-0.0265951851332712,0.00579763843013951,0.00917670833022602,-0.0505717892873248,-0.132040985808949,0.000803478291965363,-0.0247253054184577
"FRA",-0.00945538426323629,-0.0283751867855689,0.00466499991272978,0.00208784105677621,-0.0427373058412285,-0.163987597543085,-0.000376153313330271,-0.0725985140160495
"GEO",-0.0079954073637914,-0.0308410488869668,0.0038158287786216,0.00247124594486424,-0.0365249578468835,-0.177632555487208,-0.00109124941964454,-0.077695670991715
"DEU",-0.0118248918206643,-0.0267645213625254,0.00724595081135025,0.00462510428639898,-0.0492114984899352,-0.146711815315956,0.00800102940610852,-0.0525429383691825
"GRC",-0.00816462715718291,-0.0242474123425714,0.0014688054624464,-0.00148795301456537,-0.0445813465557582,-0.149948333099124,-0.0156810486968703,-0.0816699551151063
"GTM",-0.00363795378574704,-0.0347838197447788,-0.00948340619009709,-0.0345417772343292,-0.0502779412847736,-0.31232825017166,-0.0678142984978238,-0.311602122640312
"HND",-0.00146356865880798,-0.0273665539367691,-0.00816047874754067,-0.0424622307368059,-0.0332628481954699,-0.291586015831032,-0.053353578461668,-0.336873046231143
"HUN",-0.0109022841430795,-0.0301607196722926,0.0032891042583942,0.00268987817111055,-0.0555463920832944,-0.172894683520424,-0.0129722268788733,-0.0743428899902145
"IND",-0.00391119749641906,-0.0338273589331901,-0.0080138692815481,-0.0318369697344154,-0.0475087928231587,-0.298475062802387,-0.0598168081785458,-0.292503895206063
"IDN",-0.00198284991260168,-0.0433240368744842,-0.00867528034222018,-0.0818746860678928,-0.0379229405022705,-0.505568279450583,-0.058000231791126,-0.621220227030809
"IRN",-0.00623340234048156,-0.0172999695259939,-0.00206315214173644,-0.000562483233177635,-0.0435898704680987,-0.105487266855496,-0.0310791198718633,-0.0552748079770474
"IRL",-0.0109158572248316,-0.0267716099458619,0.00767159198307964,0.00307333567005839,-0.0424803673997505,-0.151409652664996,0.0132819802239831,-0.0618748158172353
"ITA",-0.0108702083106581,-0.0374119487011226,0.00495149842519841,-0.00161229254549245,-0.0503667545883535,-0.229308569843213,-0.00290163438078394,-0.121909601376322
"JPN",-0.00843151027501143,-0.0511063325535669,0.00161122659422521,-0.0176014200070095,-0.045755381867393,-0.35944225534243,-0.0156271712596831,-0.258927517702758
"KAZ",-0.00897688330610868,-0.018953293699788,0.00181219544992662,0.00554893146571734,-0.0484247134868722,-0.0970729678015759,-0.0160574772187663,-0.0235662923050599
"KEN",-0.0101817867381648,-0.0346129611364683,-4.83719336545853e-05,-0.0292467438044648,-0.0612358362299523,-0.295417998232204,-0.0308355918164218,-0.279319346236194
"KGZ",-0.00895439939437934,-0.0353364171020751,0.000211694726848324,0.0111450850857026,-0.0530913121857311,-0.178583247355343,-0.0255930298220481,-0.0391387407920096
"LAO",-0.000828149500365058,-0.0181750830588706,-0.00587571028447206,-0.0321759510592136,-0.0225960278556065,-0.205578351530865,-0.0377387102079276,-0.247580955531894
"LVA",-0.0104544059505329,-0.0249076401202044,0.00570725490002101,0.00618366124201494,-0.0456046710031342,-0.130894856995181,0.00288031154852751,-0.0376209529085234
"LTU",-0.0121619996867948,-0.0235580016213361,0.0078644582114168,0.00529915882512401,-0.0493786234865186,-0.125450533252644,0.0107007502081162,-0.0388790519132641
"MYS",0.00122857010634476,-0.0284090488559387,-0.0112874221201563,-0.0666918423231943,-0.0264908457224005,-0.370529820105215,-0.0640388224019037,-0.485378200506982
"MEX",-0.00792487818221542,-0.0201229000276348,-0.00136285686298616,-0.012063888186779,-0.051637839682251,-0.156929064726145,-0.0319517757245632,-0.132752029203578
"MNG",-0.00925946718525263,-0.0218541976910801,-0.00197924726141718,0.00870006038832726,-0.0614945448957673,-0.105025004981499,-0.039653885124261,-0.0133622307432768
"MAR",-0.00885028927030406,-0.0219830630300142,0.000378096451282837,-0.00534216468820456,-0.0519674462679758,-0.147924872244699,-0.0242822891032151,-0.0980021772192699
"MOZ",-0.00870969091040664,-0.0202049962913118,-0.00216537972510303,-0.0201903592269358,-0.0587542846377489,-0.181801055428678,-0.0391213510818381,-0.18175714423555
"NLD",-0.0120055984568729,-0.0257650633924875,0.00805501345283438,0.00340045911478729,-0.0478685503827341,-0.144389003010563,0.0123132853463877,-0.0568924354887388
"NZL",-0.00865659000171862,-0.0351062178680877,0.00467679015891059,-0.00179660876963606,-0.03790916953358,-0.216027133517434,0.00209097094830762,-0.116098306222079
"NOR",-0.0105297573757349,-0.0538086591057396,0.00575967724525099,0.00739627076845089,-0.0458995125186564,-0.300663142329085,0.0029687913443013,-0.117048352706513
"PAK",-0.00651335161283879,-0.0170377397762737,-0.00391957340990112,-0.00455952952112777,-0.0508388299067361,-0.115905027221025,-0.0430574952979231,-0.0784703964555876
"PAN",0.00272803937227195,-0.0470987395984577,-0.0174345251636481,-0.0752191838356251,-0.0359353392573128,-0.508249989097622,-0.096423032865073,-0.592611321809124
"PRY",-0.00266379883370574,-0.0388688637584561,-0.00542521836216457,-0.0516150151821209,-0.0322584480887281,-0.3880582280971,-0.0405427066741046,-0.426296682368094
"PER",-0.00534553043181027,-0.034013791278513,-0.00929551483711247,-0.0236368993829646,-0.0599597271021989,-0.274993445819972,-0.0718096803181056,-0.243862770133326
"PHL",0.000544549239358468,-0.0448874322003729,-0.0100851902267844,-0.0933066716411991,-0.0269882752442023,-0.549244608125835,-0.0588774936426309,-0.694502326448313
"POL",-0.012159010815653,-0.0253392551744895,0.0072284633110383,0.00495324982646553,-0.0512686749608031,-0.137175781567541,0.00689374741927078,-0.0462982665646754
"PRT",-0.0101620746082922,-0.0382483500555183,0.00472538515124567,-0.007870580037908,-0.0467962921960164,-0.253101840446834,-0.00213391291740268,-0.161968530394003
"ROU",-0.0118607671668126,-0.0311881960131344,0.00474381219507836,0.00357433231341247,-0.0569331664156404,-0.176406179138569,-0.00711942832996759,-0.0721185941589285
"RUS",-0.0102826898475747,-0.0272482947464335,0.00429645577049901,0.00904654922411259,-0.0488067717739513,-0.136350120806263,-0.00506933491973013,-0.0274655888946249
"SRB",-0.0148873598947818,-0.0370923410415363,0.00547075614296918,0.0034048144404276,-0.0729118909397832,-0.212339602927935,-0.0118375428265303,-0.0908481364820433
"SVK",-0.0107713130722021,-0.0277889163935346,0.00539724954343864,0.00509236223805394,-0.0484361298028967,-0.151456411647046,6.95580440255401e-05,-0.0528125757522801
"SVN",-0.0129015410260796,-0.038541463039912,0.00840688752026088,0.000907972349349477,-0.052188583595695,-0.228524861191424,0.0117367020433264,-0.110176555023639
"ZAF",-0.00780209307140229,-0.0228301354091738,-0.00176011786374071,-0.00360510859580561,-0.0520929120196359,-0.14779613824246,-0.0339669863966511,-0.0901210578023551
"KOR",-0.0111908731196884,-0.0557659587960666,0.00118296678196788,-0.0116706495349938,-0.0635963383722267,-0.369607701381381,-0.0264748186672579,-0.237321773598163
"ESP",-0.00778645397347862,-0.0241507631007703,0.00294561093372957,-0.00049284263932539,-0.037881891039683,-0.146383106522598,-0.00568569631805842,-0.0754093451382631
"SWE",-0.0106035694886569,-0.026538283095918,0.00644238620087025,0.00781151655047983,-0.0442942583293305,-0.135795148924068,0.00684360873925091,-0.032745749984875
"CHE",-0.011244591038314,-0.0483279776777744,0.00616579822066828,0.00401220595679473,-0.0489701515678793,-0.277931248196262,0.0032610162090676,-0.120910697292555
"TZA",-0.00818298355167346,-0.0195819225998512,-0.0019747875695446,-0.0205975206817448,-0.0550222640186745,-0.179284097644342,-0.0363976760722879,-0.182330891890023
"THA",-0.00186141988410164,-0.0153222632495468,-0.00687562753149842,-0.0331525882724514,-0.0317954018991051,-0.191391344314635,-0.0468380248412954,-0.244882319383349
"TUR",-0.008991118245522,-0.0257870096842028,0.00331051677401631,0.00219910650561379,-0.0440151591510831,-0.148124738588376,-0.00711025409246814,-0.0641663900189258
"UKR",-0.0114780199492893,-0.0260360752231763,0.00592788799497641,0.00560680432702804,-0.0510844557108068,-0.139396038357974,0.00113326812199045,-0.0444673997073606
"ARE",-0.00398279136029243,-0.00858215205768089,-0.00846494708743465,-0.00541267223233318,-0.0492915894240585,-0.0677309290430849,-0.0627380566054852,-0.0582224895670417
"GBR",-0.00786160763927944,-0.0276146113104752,0.00396653137325449,0.00373046459691337,-0.0352700517159131,-0.154496274072111,0.000214365321688699,-0.0604610463499456
"USA",-0.00721793409671327,-0.0290130204177055,0.000568686962102373,-7.96358876384265e-05,-0.0416015436939725,-0.174317030169148,-0.0182416805175255,-0.0875168765789471
"URY",-0.00763475279377299,-0.0455645854462812,-4.25416300782971e-05,-0.0231991362116028,-0.0459361416528729,-0.342984921312496,-0.0231595081617888,-0.27588857360846
"UZB",-0.00740666695754753,-0.01911258910807,-0.00198630903277392,0.00167296347788758,-0.0503989288436069,-0.109656644214757,-0.0341378550692861,-0.0472999864568844
"VNM",-0.00281078130797481,-0.0260188649571724,-0.00494541278612765,-0.0436059961416648,-0.0317009262062317,-0.286931178168029,-0.0381048206406903,-0.339692571721506
